RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,3.9657731,3.9881727430555554,0.07350260416666668,0.07350260416666668,0.016311125578703702,1,0,0,0,0
3,4.827552799999999,4.850071614583333,0.15801866319444444,0.08451605902777776,0.019550220630787037,1,0,0,0,0
4,5.628488999999999,5.6519552951388885,0.24319878472222226,0.08518012152777782,0.022536485460069443,1,0,0,0,0
5,6.3833734999999985,6.4073741319444455,0.32960503472222225,0.08640624999999999,0.025324037905092595,1,0,0,0,0
6,8.5349254,8.559058159722222,0.41810546875,0.08850043402777774,0.03392063621238426,1,0,0,0,0
7,9.2624591,9.287369791666666,0.50501953125,0.0869140625,0.03659312608506945,1,0,0,0,0
8,10.1216265,10.145696614583333,0.5918793402777778,0.08685980902777779,0.039807571976273146,1,0,0,0,0
9,11.9792317,12.001812065972222,0.6770985243055555,0.08521918402777773,0.04718630642361111,1,0,0,0,0
10,14.820107,14.84298828125,0.7629166666666667,0.08581814236111118,0.05866696506076388,0,52,72,812,510
11,14.928530599999998,14.950564236111115,0.8470377604166667,0.08412109374999999,0.058764693648726864,1,0,0,0,0
12,15.0161381,15.038919270833333,0.9312369791666668,0.08419921875000014,0.05878200954861111,1,0,0,0,0
13,15.150144099999999,15.174717881944444,1.0169921875,0.08575520833333328,0.05899052372685185,0,44,72,812,654
14,15.2404869,15.264286024305555,1.1030989583333333,0.08610677083333318,0.05900494610821759,0,52,64,804,534
15,15.3650541,15.388036024305556,1.1875672743055556,0.08446831597222237,0.05916861979166667,0,52,72,788,806
16,15.488594199999998,15.50998046875,1.2718880208333334,0.08432074652777777,0.059325385199652775,1,0,0,0,0
17,15.5878169,15.610577256944444,1.3563845486111108,0.08449652777777739,0.059392469618055554,0,52,72,804,414
18,15.7314696,15.754817708333333,1.4408723958333334,0.08448784722222258,0.05964143880208333,1,0,0,0,0
19,15.8533711,15.876254340277775,1.5322482638888888,0.09137586805555542,0.05976669198495369,1,0,0,0,0
20,15.975609900000002,15.998489583333333,1.6178580729166667,0.08560980902777793,0.059919297960069444,1,0,0,0,0
21,16.0892479,16.11187717013889,1.7029275173611111,0.08506944444444442,0.06003729021990741,0,52,72,796,726
22,16.2212775,16.243873697916666,1.7879665798611108,0.0850390624999997,0.060232946325231476,0,52,64,812,478
23,16.480277800000003,16.50400390625,1.8737651909722224,0.08579861111111153,0.06095932798032407,0,44,72,780,806
24,16.590178299999998,16.611356336805557,1.9585872395833333,0.08482204861111087,0.06105320457175926,0,44,72,804,566
25,16.6819372,16.7038671875,2.0420247395833333,0.08343750000000005,0.061091010199652775,1,0,0,0,0
26,16.8127828,16.834908854166667,2.1258658854166668,0.08384114583333346,0.061287679036458334,0,52,72,788,798
27,16.930743200000002,16.954014756944446,2.2115581597222222,0.08569227430555548,0.06142690248842593,0,52,72,796,542
28,17.091381100000003,17.114097222222227,2.2963151041666667,0.08475694444444448,0.06174075882523151,0,44,72,796,606
29,17.1977022,17.219301215277778,2.3803515625,0.08403645833333329,0.061828956886574075,0,52,64,812,502
30,17.3301977,17.352877604166668,2.464615885416667,0.08426432291666686,0.062034423828125004,0,52,72,828,454
31,17.415042099999994,17.43744357638889,2.548426649305556,0.0838107638888892,0.06203757052951389,0,44,80,780,702
32,17.5085596,17.53199001736111,2.6333723958333333,0.0849457465277772,0.062077573423032405,1,0,0,0,0
33,17.613170399999994,17.63529513888889,2.7171440972222216,0.08377170138888834,0.062158962673611116,0,44,72,828,350
34,17.707774099999995,17.730366753472218,2.8013845486111117,0.08424045138889014,0.06220409252025461,0,44,72,796,814
35,17.8561679,17.881171875,2.8890928819444444,0.08770833333333261,0.06246699580439815,1,0,0,0,0
36,17.944126899999997,17.966443142361108,2.9726085069444443,0.08351562499999998,0.06247431098090276,1,0,0,0,0
37,18.0917483,18.116078559027773,3.057805989583333,0.08519748263888882,0.06274280237268517,0,44,72,812,510
38,18.1898327,18.213921440972218,3.1439084201388887,0.08610243055555555,0.06279172092013888,0,44,72,820,366
39,18.3309359,18.35470703125,3.2302278645833336,0.08631944444444484,0.06301866319444445,0,44,72,844,334
40,18.4408393,18.468624131944445,3.319305555555556,0.08907769097222262,0.0631221607349537,0,44,72,820,406
41,18.5410962,18.566809895833334,3.406614583333333,0.08730902777777683,0.06316748046875001,0,52,72,812,550
42,18.6779245,18.700768229166666,3.491067708333333,0.08445312500000002,0.0633737521701389,1,0,0,0,0
43,18.7666174,18.78995876736111,3.5762673611111118,0.08519965277777874,0.063390380859375,0,60,72,804,782
44,18.856342899999998,18.878168402777774,3.6612999131944446,0.08503255208333282,0.0634036187065972,0,44,72,780,814
45,18.9764903,19.001089409722226,3.747599826388889,0.08629991319444441,0.06355620659722223,0,52,72,804,614
46,19.1765592,19.199216579861115,3.8329752604166663,0.08537543402777725,0.0640260054976852,0,44,72,796,766
47,19.274014800000003,19.299390190972225,3.9200954861111112,0.087120225694445,0.06408039460358797,0,60,72,788,702
48,19.3698983,19.392942708333333,4.005110677083334,0.08501519097222232,0.06411596679687499,0,52,72,820,294
49,19.5024629,19.528094618055555,4.0924609375,0.08735026041666671,0.06431514033564814,0,52,72,812,446
50,19.6161014,19.640086805555555,4.177936197916667,0.08547526041666664,0.0644256275318287,0,52,72,804,542
51,19.7141861,19.73741536458333,4.2624327256944445,0.08449652777777761,0.06447909432870369,0,52,72,804,518
52,19.827083,19.851911892361112,4.349129774305555,0.08669704861111072,0.06459492549189814,0,44,72,796,558
53,20.0103609,20.036011284722218,4.4380078125,0.08887803819444517,0.06499168113425924,0,52,80,796,686
54,20.106997600000003,20.130926649305557,4.523776041666666,0.08576822916666593,0.06502979419849537,0,52,80,788,422
55,20.195120499999998,20.215815972222227,4.606393229166667,0.08261718750000036,0.06503926142939817,0,52,72,812,518
56,20.280300200000006,20.30251302083333,4.692065972222221,0.08567274305555461,0.06504352936921295,0,52,72,804,598
57,20.3955406,20.419507378472225,4.777745225694446,0.08567925347222438,0.06517400896990741,0,52,72,804,542
58,20.4813235,20.501414930555555,4.85958984375,0.08184461805555454,0.06517427119502314,0,52,72,812,406
59,20.588084100000003,20.610655381944444,4.942552083333333,0.08296223958333293,0.06528376374421296,0,52,80,804,470
60,20.7331526,20.75841579861111,5.0301953125,0.08764322916666689,0.06553425202546297,0,44,72,788,718
61,20.8810156,20.90536892361111,5.115431857638889,0.08523654513888879,0.06579140444155092,0,52,64,812,670
62,21.045920499999998,21.070397135416666,5.202445746527777,0.0870138888888885,0.06611646412037037,1,0,0,0,0
63,21.143401899999997,21.16693142361111,5.287953559027779,0.08550781250000128,0.06616240776909722,0,44,72,788,630
64,21.2689216,21.29435763888889,5.375054253472222,0.08710069444444368,0.06633043077256945,0,52,80,812,574
65,21.373473899999997,21.395316840277783,5.459448784722222,0.08439453125000007,0.0663994502314815,0,52,72,804,430
66,21.547123100000004,21.57091145833333,5.5457161458333335,0.08626736111111111,0.06677164713541665,0,44,72,804,566
67,21.679216699999998,21.70315104166667,5.632078993055557,0.08636284722222332,0.06696280020254629,0,52,80,796,678
68,21.789371399999997,21.811184895833332,5.718502604166668,0.08642361111111097,0.06705284288194442,1,0,0,0,0
69,21.8785968,21.900436197916665,5.803493923611112,0.08499131944444382,0.06707059280960648,0,44,72,796,790
70,22.002496200000003,22.02405598958333,5.886193576388888,0.08269965277777658,0.06724109338831018,0,52,80,772,702
71,22.100727300000003,22.123376736111112,5.970247395833334,0.08405381944444557,0.06730470558449074,0,52,72,796,654
72,22.2293497,22.25296875,6.055954861111112,0.08570746527777828,0.06748755787037038,0,52,72,828,390
73,22.379693,22.40480685763889,6.143391927083332,0.08743706597222012,0.06775589554398148,0,52,72,796,654
74,22.4680755,22.491484375,6.2297960069444445,0.08640407986111232,0.06775703486689814,0,44,72,828,446
75,22.6259848,22.64942708333333,6.315648871527778,0.08585286458333385,0.06805740921585647,0,52,72,788,742
76,22.7176441,22.74110677083333,6.40185546875,0.08620659722222168,0.06808021375868054,0,44,80,804,494
77,22.8094372,22.833148871527783,6.488196614583333,0.08634114583333297,0.06810396773726854,1,0,0,0,0
78,22.9600118,22.982966579861113,6.572784288194446,0.08458767361111263,0.06837575954861112,0,44,80,820,406
79,23.0472223,23.067712673611112,6.654906684027778,0.08212239583333236,0.06838669162326388,0,52,72,772,598
80,23.150723499999998,23.174166666666668,6.739780815972222,0.08487413194444393,0.06847660771122686,0,44,80,780,766
81,23.2552723,23.27571614583333,6.822454427083334,0.08267361111111171,0.06855525716145831,0,52,80,796,558
82,23.363778300000003,23.387068142361112,6.906946614583332,0.08449218749999865,0.06866717303240741,0,44,72,820,654
83,23.4661273,23.489750434027773,6.9916796875,0.08473307291666732,0.06874196144386573,1,0,0,0,0
84,23.5592593,23.58184895833333,7.0764388020833335,0.08475911458333396,0.06877254231770832,0,52,80,804,590
85,23.6901375,23.713637152777782,7.161401909722222,0.08496310763888815,0.06896764684606484,0,44,80,812,462
86,23.7959522,23.8197265625,7.247884114583332,0.08648220486111047,0.06904934353298613,0,44,80,804,638
87,23.885298300000002,23.90816189236111,7.333344184027778,0.08546006944444606,0.0690617404513889,0,44,72,788,918
88,23.970510100000002,23.99446180555556,7.417504340277778,0.0841601562499994,0.06907065610532409,0,44,72,828,334
89,24.0733381,24.0969921875,7.507196180555557,0.0896918402777791,0.06912415002893518,0,44,80,804,638
90,24.1728601,24.194911024305554,7.5905859375,0.0833897569444435,0.0691846878616898,0,52,64,796,806
91,24.3179243,24.341924913194447,7.6762413194444425,0.08565538194444233,0.06944034830729168,0,44,72,804,606
92,24.413361,24.43663411458333,7.7614952256944445,0.08525390625000195,0.06947974537037037,0,44,72,820,558
93,24.5017345,24.526236979166665,7.847575954861112,0.08608072916666742,0.06949442093460648,0,44,72,796,494
94,24.656135100000004,24.678828125,7.931959635416668,0.08438368055555578,0.06977861870659721,0,44,72,796,654
95,24.8274116,24.85172526041667,8.017960069444445,0.08600043402777757,0.07014068829571761,0,44,72,804,606
96,24.918669100000002,24.940811631944445,8.101764322916667,0.08380425347222165,0.07016269712094907,0,44,72,828,414
97,25.0052068,25.030201822916666,8.188502604166667,0.08673828124999972,0.07017374674479167,0,52,72,780,750
98,25.1364365,25.15979817708333,8.274151475694444,0.085648871527777,0.07035686125578702,0,44,80,796,622
99,25.229648,25.251638454861112,8.357619357638889,0.08346788194444521,0.07039174623842594,0,44,72,820,414
100,25.3409574,25.36201388888889,8.440210503472223,0.08259114583333371,0.07050751410590278,0,52,80,716,742
101,25.4386991,25.46145833333333,8.524583333333334,0.0843728298611115,0.07057031249999997,0,52,72,788,774
102,25.5243733,25.54703776041667,8.609290364583334,0.08470703124999979,0.07057394748263891,0,52,64,812,590
103,25.6280117,25.64906901041667,8.692005208333333,0.08271484374999893,0.07065443250868059,0,52,80,796,614
104,25.710103,25.73332465277777,8.77591796875,0.08391276041666806,0.07065586118344905,0,60,80,796,606
105,25.8077021,25.83212890625,8.8612890625,0.0853710937499983,0.07071183268229167,0,52,72,796,822
106,25.898114,25.921534288194447,8.946215277777778,0.084926215277779,0.07073049587673612,0,60,80,804,462
107,26.0324983,26.054828559027783,9.028919270833333,0.08270399305555465,0.0709412887008102,0,52,64,836,230
