RoiNumber,ADCtime,RunTime,InhibitTime,InhibitTimeDiff,VolumeAnalyzed,IsZeroRoi,RoiHeight,RoiWidth,RoiX,RoiY
2,9.7641017,9.789016927083333,0.07623697916666666,0.07623697916666666,0.040469916449652775,0,52,80,924,422
3,10.4628661,10.487341579861113,0.1634722222222222,0.08723524305555555,0.04301612232349538,0,52,72,924,438
4,10.5942898,10.615954861111113,0.2469357638888889,0.0834635416666667,0.043204246238425933,0,52,80,932,334
5,10.8812742,10.905503472222223,0.33438585069444443,0.08745008680555552,0.04404632342303241,0,52,88,916,318
6,10.9800696,11.002808159722226,0.4196462673611111,0.08526041666666667,0.04409650788483798,0,60,80,932,750
7,11.0706922,11.093064236111115,0.5032964409722223,0.08365017361111116,0.04412403247974538,0,52,80,916,326
8,11.171566699999998,11.194463975694443,0.5903255208333333,0.08702907986111108,0.044183910228587954,0,52,80,932,414
9,11.2847651,11.306456163194444,0.6739040798611111,0.08357855902777778,0.04430230034722222,0,60,72,940,534
10,11.388770699999998,11.410052083333332,0.7576605902777778,0.08375651041666665,0.04438496455439814,0,44,72,924,238
11,11.5522355,11.574861111111113,0.8438433159722222,0.0861827256944444,0.04471257414641205,0,60,80,948,758
12,11.7376375,11.760062934027774,0.92931640625,0.08547309027777783,0.04512811053240739,0,60,80,948,710
13,11.8321526,11.853467881944445,1.0127582465277778,0.08344184027777779,0.04516962348090278,0,52,80,948,726
14,11.962748399999999,11.985865885416667,1.0983094618055556,0.08555121527777776,0.04536481843171296,0,44,80,932,670
15,12.0804102,12.108404947916664,1.1891710069444446,0.090861545138889,0.045496808087384245,0,52,72,980,846
16,12.2191656,12.242549913194445,1.2753103298611108,0.08613932291666626,0.04569683159722223,0,52,88,916,846
17,12.3196799,12.343328993055556,1.3601193576388888,0.08480902777777799,0.04576337348090278,0,44,88,924,270
18,12.405411,12.428289930555556,1.4440907118055557,0.0839713541666669,0.045767496744791664,0,52,72,940,534
19,12.4938133,12.516651475694443,1.5280859375,0.08399522569444429,0.04578568974247685,0,52,80,932,614
20,12.6272757,12.648611111111109,1.6109505208333332,0.08286458333333324,0.04599025245949073,0,52,72,956,518
21,12.7359158,12.756395399305555,1.6938259548611112,0.08287543402777797,0.04609403935185185,0,52,72,916,366
22,12.8548647,12.878882378472223,1.7799522569444444,0.08612630208333316,0.046245542173032415,0,44,80,940,342
23,12.994630699999998,13.016786024305556,1.8640993923611107,0.0841471354166663,0.04646952763310186,0,44,72,932,414
24,13.2001796,13.224108072916666,1.9504600694444445,0.08636067708333384,0.046973533347800925,0,52,80,932,470
25,13.3043258,13.326521267361109,2.0352083333333333,0.08474826388888879,0.047047137225115734,0,44,80,924,262
26,13.4022986,13.426467013888885,2.1221744791666666,0.08696614583333329,0.04710121889467591,0,44,80,924,558
27,13.583888,13.608420138888887,2.2078428819444444,0.08566840277777787,0.047502405237268515,0,60,144,916,518
28,13.6898425,13.710796440972222,2.29130859375,0.08346571180555573,0.047581199363425926,0,52,72,940,470
29,13.9346107,13.957098524305556,2.376501736111111,0.08519314236111075,0.04825248661747685,0,60,72,948,886
30,14.020857000000001,14.043643663194445,2.462927517361111,0.08642578125,0.04825298394097222,0,52,88,932,806
31,14.155102599999998,14.177673611111109,2.546942274305556,0.08401475694444516,0.04846138057002314,0,52,72,924,366
32,14.2398141,14.261065538194444,2.6299674479166666,0.0830251736111105,0.04846290870949074,0,60,64,940,534
33,14.3651626,14.388155381944443,2.7153168402777776,0.08534939236111105,0.04863682725694444,0,52,80,956,742
34,14.4747793,14.497454427083332,2.8019574652777783,0.08664062500000069,0.04873123734085647,0,44,80,924,630
35,14.6087473,14.632044270833333,2.8870269097222216,0.08506944444444331,0.04893757233796296,0,52,72,932,382
36,14.7034996,14.725505642361114,2.9719270833333336,0.0849001736111119,0.04897324399594908,0,52,88,932,854
37,14.865574300000002,14.887222222222224,3.0589887152777777,0.08706163194444416,0.049284306278935194,0,52,80,932,526
38,15.095502,15.119904513888885,3.14525390625,0.08626519097222207,0.04989437753182869,0,52,80,924,766
39,15.236769800000001,15.260071614583332,3.231189236111111,0.08593532986111141,0.05012034324363425,0,52,88,924,742
40,15.382504500000001,15.405768229166664,3.3172612847222216,0.0860720486111104,0.05036877893518518,0,52,80,940,622
41,15.4831826,15.505006510416667,3.4016818576388888,0.08442057291666716,0.05043051938657408,0,52,80,924,374
42,15.6141644,15.636957465277776,3.4863932291666666,0.08471137152777786,0.05062735098379629,0,52,80,924,398
43,15.7045979,15.730575086805556,3.575158420138889,0.08876519097222246,0.05064756944444445,0,44,80,916,446
44,15.8636203,15.887074652777779,3.661032986111111,0.08587456597222198,0.05094184027777778,0,52,80,932,582
45,15.9641813,15.987471788194444,3.7462673611111112,0.0852343750000002,0.05100501844618055,0,60,80,940,574
46,16.058506599999998,16.080503472222222,3.829583333333333,0.08331597222222165,0.05104550057870371,0,44,80,940,502
47,16.166275600000002,16.188268229166667,3.9177300347222217,0.0881467013888888,0.05112724247685185,0,60,80,916,510
48,16.413022,16.436770833333334,4.003400607638889,0.08567057291666691,0.05180570927372686,0,52,88,916,894
49,16.5209221,16.54404296875,4.089118923611111,0.08571831597222257,0.05189551685474537,0,52,72,932,814
50,16.609749700000002,16.631636284722227,4.173858506944445,0.08473958333333353,0.05190740740740742,0,52,80,924,526
51,16.747970300000002,16.770692274305556,4.259921875,0.08606336805555515,0.05212820999710648,0,52,80,956,702
52,16.8413071,16.864036458333334,4.345414496527779,0.08549262152777892,0.05216092484085648,0,52,80,932,494
53,16.9587552,16.983604600694445,4.431794704861111,0.08638020833333204,0.052299207899305554,0,52,80,932,662
54,17.0471264,17.069993489583332,4.516916232638889,0.08512152777777793,0.052304488570601854,0,52,88,924,670
55,17.172609700000002,17.194097222222222,4.6030121527777785,0.08609592013888978,0.05246285445601851,0,52,72,948,622
56,17.2779454,17.30003689236111,4.689075520833334,0.08606336805555515,0.05254567238136573,0,44,80,924,566
57,17.371407899999998,17.392981770833334,4.772921006944443,0.08384548611110976,0.05258358651620371,0,52,80,916,438
58,17.4585145,17.47872612847222,4.85474609375,0.08182508680555678,0.05259991681134259,0,52,72,940,414
59,17.6192354,17.64201388888889,4.9391861979166665,0.08444010416666625,0.052928448712384266,0,60,80,924,638
60,17.739181799999994,17.763854166666672,5.027508680555556,0.08832248263888953,0.05306810619212965,0,52,80,940,654
61,17.834278899999997,17.855616319444444,5.111050347222221,0.08354166666666529,0.05310235821759259,0,52,80,940,870
62,17.924860199999994,17.946306423611112,5.193515625,0.08246527777777857,0.0531366283275463,0,52,80,948,846
63,18.0289995,18.051603732638892,5.2780989583333335,0.08458333333333368,0.05322293655960649,0,52,80,932,486
64,18.127725899999998,18.149249131944444,5.361102430555556,0.08300347222222282,0.05328394458912036,0,52,72,932,422
65,18.254209399999997,18.276751302083333,5.445551215277778,0.0844487847222215,0.053463333695023145,0,52,72,916,286
66,18.3625538,18.387526041666668,5.532586805555557,0.08703559027777885,0.05356224681712963,0,52,80,948,710
67,18.4733157,18.49885633680556,5.620206163194443,0.08761935763888662,0.05366104239004632,0,44,80,908,286
68,18.5645723,18.58720052083333,5.704071180555554,0.08386501736111107,0.053679705584490735,0,52,80,940,790
