,trigger#,ADCtime,PMTA,PMTB,PMTC,PMTD,PeakA,PeakB,PeakC,PeakD,TimeOfFlight,GrabTimeStart,GrabTimeEnd,RoiX,RoiY,RoiWidth,RoiHeight,StartByte,ComparatorOut,StartPoint,SignalLength,Status,RunTime,InhibitTime,RoiNumber
33,34,55.050762000000006,0.04873216,0.04391849,-0.0040209293,-0.0009924173,0.1589346,0.5012131,0.011007786,0.011706352,56.52174,55.050762000000006,55.095607300000005,564,342,192,116,709568,0,0,0,0,55.07503038194445,3.5643446180555554,34
34,34,55.050762000000006,0.04873216,0.04391849,-0.0040209293,-0.0009924173,0.1589346,0.5012131,0.011007786,0.011706352,56.52174,55.050762000000006,55.095607300000005,348,350,120,108,731840,0,0,0,0,55.07503038194445,3.5643446180555554,35
35,34,55.050762000000006,0.04873216,0.04391849,-0.0040209293,-0.0009924173,0.1589346,0.5012131,0.011007786,0.011706352,56.52174,55.050762000000006,55.095607300000005,860,366,96,100,744800,0,0,0,0,55.07503038194445,3.5643446180555554,36
36,34,55.050762000000006,0.04873216,0.04391849,-0.0040209293,-0.0009924173,0.1589346,0.5012131,0.011007786,0.011706352,56.52174,55.050762000000006,55.095607300000005,1116,366,240,124,754400,0,0,0,0,55.07503038194445,3.5643446180555554,37
75,73,94.7090519,0.04968226,-0.0017178059,-0.002157092,0.00013828278,0.36207676,0.014371872,0.010838509,0.011575222,69.565216,94.7090519,94.7553123,516,22,336,276,1359008,0,0,0,0,94.73522569444444,6.8668815104166665,76
76,73,94.7090519,0.04968226,-0.0017178059,-0.002157092,0.00013828278,0.36207676,0.014371872,0.010838509,0.011575222,69.565216,94.7090519,94.7553123,1220,166,136,140,1451744,0,0,0,0,94.73522569444444,6.8668815104166665,77
105,102,135.4530121,2.427514,0.17547548,-0.016117096,-0.00849545,3.0317044,0.6835818,0.011286736,0.1193881,280.43478,135.4530121,135.4992143,172,70,640,404,3564064,0,0,0,0,135.47993055555557,9.319830729166666,106
106,102,135.4530121,2.427514,0.17547548,-0.016117096,-0.00849545,3.0317044,0.6835818,0.011286736,0.1193881,280.43478,135.4530121,135.4992143,980,638,176,52,3822624,0,0,0,0,135.47993055555557,9.319830729166666,107
116,112,151.3620527,0.008242726,0.00018835068,-0.0013238192,0.00060737133,0.072999,0.09950876,0.010857582,0.011544228,56.52174,151.3620527,151.4049894,732,54,152,116,4004224,0,0,0,0,151.38772569444444,10.172554253472224,117
117,112,151.3620527,0.008242726,0.00018835068,-0.0013238192,0.00060737133,0.072999,0.09950876,0.010857582,0.011544228,56.52174,151.3620527,151.4049894,220,86,152,100,4021856,0,0,0,0,151.38772569444444,10.172554253472224,118
118,112,151.3620527,0.008242726,0.00018835068,-0.0013238192,0.00060737133,0.072999,0.09950876,0.010857582,0.011544228,56.52174,151.3620527,151.4049894,1028,110,88,44,4037056,0,0,0,0,151.38772569444444,10.172554253472224,119
125,119,157.6660253,0.010093451,-0.0007045269,-0.0015693903,0.00050902367,0.1069355,0.014283657,0.0107216835,0.011460781,58.695652,157.6660253,157.7096344,716,206,304,156,4592160,0,0,0,0,157.6930729166667,10.76714409722222,126
126,119,157.6660253,0.010093451,-0.0007045269,-0.0015693903,0.00050902367,0.1069355,0.014283657,0.0107216835,0.011460781,58.695652,157.6660253,157.7096344,1204,286,64,60,4639584,0,0,0,0,157.6930729166667,10.76714409722222,127
127,120,159.313383,0.005723834,-0.0012713671,-0.0014966726,0.0005018711,0.106761456,0.0142765045,0.010724068,0.01144886,58.695652,159.313383,159.3598192,572,454,64,52,4643424,0,0,0,0,159.3412673611111,10.851404079861112,128
128,120,159.313383,0.005723834,-0.0012713671,-0.0014966726,0.0005018711,0.106761456,0.0142765045,0.010724068,0.01144886,58.695652,159.313383,159.3598192,740,686,96,76,4646752,0,0,0,0,159.3412673611111,10.851404079861112,129
134,126,174.70817240000002,0.013077855,0.0021255016,-0.0013566017,0.0006598234,0.09233713,0.14533281,0.010905266,0.011589527,56.52174,174.70817240000002,174.75315479999998,588,94,512,140,4916792,0,0,0,0,174.73654513888889,11.368689236111113,135
135,126,174.70817240000002,0.013077855,0.0021255016,-0.0013566017,0.0006598234,0.09233713,0.14533281,0.010905266,0.011589527,56.52174,174.70817240000002,174.75315479999998,436,158,96,52,4988472,0,0,0,0,174.73654513888889,11.368689236111113,136
174,165,215.3184379,0.016678572,-0.0011622906,-0.0014221668,0.0005835295,0.08974552,0.014247894,0.010700226,0.011451244,56.52174,215.3184379,215.3644713,1084,382,208,148,6305680,0,0,0,0,215.34772569444445,15.339171006944444,175
175,165,215.3184379,0.016678572,-0.0011622906,-0.0014221668,0.0005835295,0.08974552,0.014247894,0.010700226,0.011451244,56.52174,215.3184379,215.3644713,436,446,112,68,6336464,0,0,0,0,215.34772569444445,15.339171006944444,176
211,201,257.8045145,0.06607652,-0.005222559,-0.0073832273,-0.003157854,0.29254675,0.12979269,0.010983944,0.011684895,65.21739,257.8045145,257.8503103,548,222,96,44,7488976,0,0,0,0,257.8346006944444,18.392087673611112,212
