class_name,collapsed_class,taxonomic_group,notes
Acantharia,Acantharia,radiolarian_or_acantharian,
Acanthoica_quattrospina,Acanthoica*,radiolarian_or_acantharian,
Akashiwo,Akashiwo,dinoflagellate,
Alexandrium_catenella,Alexandrium*,dinoflagellate,
Alexandrium_catenella_TAG_2cell_TAG_chain,Alexandrium_catenella*,dinoflagellate,
Alexandrium_catenella_TAG_chain,Alexandrium_catenella*,dinoflagellate,
Amoeba,Amoeba,other_protist,
Amphidinium,Amphidinium,dinoflagellate,
Amylax,Amylax,dinoflagellate,
Apedinella,Apedinella,other_phytoplankton,
Asterionellopsis_glacialis,Asterionellopsis*,diatom,
Bacillariophyceae_morphotype1,Bacillariophyceae_morphotype1,diatom,
Balanion,Balanion,ciliate,
Calciopappus,Calciopappus,haptophyte_or_coccolithophore,
Cerataulina_pelagica,Cerataulina*,diatom,
Chaetoceros,Chaetoceros,diatom,
Chaetoceros_TAG_external_pennate,Chaetoceros*,diatom,
Chaetoceros_didymus,Chaetoceros*,diatom,
Chaetoceros_morphotype1,Chaetoceros*,diatom,
Chaetoceros_similis,Chaetoceros*,diatom,
Chaetoceros_socialis,Chaetoceros*,diatom,
Chaetoceros_subtilis,Chaetoceros*,diatom,
Chaetoceros_tenuissimus,Chaetoceros*,diatom,
Chrysochromulina,Chrysochromulina,haptophyte_or_coccolithophore,
Chrysochromulina_lanceolata,Chrysochromulina*,haptophyte_or_coccolithophore,
Ciliophora,Ciliophora,ciliate,
Copepod_nauplii,Copepod*,metazoan,
Corethron_hystrix,Corethron*,diatom,
Corymbellus,Corymbellus,other_protist,
Coscinodiscus,Coscinodiscus,diatom,
Cryptophyta,Cryptophyta,cryptophyte,
Cylindrotheca,Cylindrotheca,diatom,
Cylindrotheca_morphotype1,Cylindrotheca*,diatom,
Dactyliosolen_blavyanus,Dactyliosolen*,diatom,
Dactyliosolen_fragilissimus,Dactyliosolen*,diatom,
Delphineis,Delphineis,diatom,
Dictyocha,Dictyocha,other_phytoplankton,
Dinobryon,Dinobryon,other_phytoplankton,
Dinophysis_acuminata,Dinophysis*,dinoflagellate,
Dinophysis_norvegica,Dinophysis*,dinoflagellate,
Ditylum_brightwellii,Ditylum*,diatom,
Emiliania_huxleyi,Emiliania*,haptophyte_or_coccolithophore,
Ephemera,Ephemera,metazoan,
Eucampia,Eucampia,diatom,
Eucampia_morphytype1,Eucampia*,diatom,
Euglena,Euglena,other_phytoplankton,
Euplotes,Euplotes,ciliate,
Euplotes_morphotype1,Euplotes*,ciliate,
Eutintinnus,Eutintinnus,ciliate,
Favella,Favella,ciliate,
Fragilariopsis,Fragilariopsis,diatom,
Gonyaulax,Gonyaulax,dinoflagellate,
Guinardia_delicatula,Guinardia*,diatom,
Guinardia_flaccida,Guinardia*,diatom,
